,content
189,"o homem não pode paquerar uma mulher , mais uma mulher pode paquerar outra mulher mesmo q a outra não goste , uma pergunta isso é assédio sexual?"
191,"Vejem bem, está mulher concerteza já aprontou com o marido por isso ele perdeu a cabeça"
194,"Feminismo, hoje em dia, é tratado como piada no mundo inteiro. Feminismo nunca produziu nada, e apenas adere ao que outros produzem."
198,"Todos os países que criam muitas leis são atrasados. Leis sem fundamentos. Tem mulher que suja sua classe, ela mesma faz a violência se envolvendo com marginais. Essa lei nunca protege as mulheres de caráter, as boas donas de casa, só server para as bandidas usarem e abusarem dos homens honestos e trabalhadores.  "
200,No geral as mulheres tem mais afinidade com a área de humanas
203,"A explicação é muito simples e biológica, ou seja, imune ao patrulhamento ideológico, o cérebro masculino tende (atenção ao verbo) a ser mais matemático, menos emotivo. Por outro lado as mulheres são muito melhores nos trabalhos relacionados a cuidar de pessoas. Insistir na mentira de que homens e mulheres são iguais, fazendo com que mulheres se sintam obrigadas a competir igualmente em certas atividades é agressão psicológica de uma maldade sem tamanho."
204,"Se o homem comete crime contra a mulher dentro de casa é pq ele quer impedir ela de sair, ou seja, um ato de machismo. Se o homem comete o crime fora de casa é uma declaração de que ele é macho também. Resumindo, formulação puramente falaciosa."
206,"Quanta bobagem! Quem afinal faz a inscrição no vestibular, não são elas? "
208,"Ficaria muito feliz se isso acontecesse .... tipo, serio."
209,"Quanta vulgaridade, Jorge e Juliana. Vocês deveriam se envergonhar. Que papelão."
212,Hoje em dia para sair com uma mulher tem que lavrar contrato. 
213,"Até que emfim apareceu uma verdadeira mulher. Porque estas que estão denunciando os homens de assedio, não falam das mulheres que estão assediando a elas próprias.Interessante que acusam os homens que que foram  assediadas tanto tempo após o ato. Qual dessas assediadas apresentou uma queixa à polícia do acontecido.Houve uma que revelou que foi ao quarto do diretor para uma reunião e ele a assediou. É brincadeira, quem vai a um quarto de hotel para reunião de trabalho sozinha, está esperando o que?Reunião de trabalho dá-se em escritório e com várias pessoas da equipe presente."
214,"É isso ai cara.......a  Bruna diz isso pq  ela é a lavadeira da ""atriz""."
215,"Feminismo é igualdade de gênero.. o conceito certo é esse, e sempre será.. Quem tem problema é quem se diz feminista, mas é sexista feminina!"
216,Ela é linda. Parabéns pela determinação em seguir com o sonho. 
217,"Edson Almeida! com certeza ela deve cobrar caro, por que o serviço é extremamente profissional!kkkkkkkkkkkkkkkkkkk"
218,"Tinha que ser... Foi imprudente, sim. Não tem nehhuma noção."
222,Parabéns pela coragem! Que outras mulheres sigam seu exemplo!!!
223,"Onde, onde, onde. Eu não vi nada, não sei de nada. Onde está ?"
225,"Cala o dedo comédia, uma coisa é o cara puxar a mina pro meio do mato, ameaçar, usar arma e força fisica, falar que vai matar, até mesmo criança, esse tipo de cara sim é estuprador que não merece perdão e sim JogosMortais e vala, é diferente de uma falsa acusação de uma mulher que alega não lembrar de nada mas estava sóbria quando aceitou participar do gangbang com os caras."
228,acho tambem que estao ejagerando um pouco tambem.
231,Agora postar foto de mulher feia no Facebook é insulto ? 
232,"Os menos inteligentes precisam de cotas... acho que é biológico, é o jeito ceder espaços para acabar coma choradeira."
233,"Que época mais chata e careta a que nós vivemos onde tudo gera ódio, conceitos básicos de respeito mutuo são esquecidos em prol de uma causa própria. Essa é a geração mimimi, tenho vergonha de ser parte disto."
234,"parabéns, conseguiu chamar a atenção... ela deveria pendurar uma melancia no pescoço... ridícula..."
235,sabe qd vai arrumar outra entrevista internacional p postar no blog? NUNCA!!!!
242,"Fico imaginando a sua abertura, Carolina."
243,A quantidade de homens estuprados nas prisões todos os anos ultrapassa de forma estratosferica a quantidade de mulheres estupradas no mundo todo(sem meritos de culpa) mulheres não são obrigadas a se alistarem no serviço militar(q é uma das carreiras com maiores chances de morte obviamente)
245,Bem isso. O interessante é achar a brecha e voltar o feitiço contra esse blog lacrador e cheio de mimimi... Estão tornando a vida atual um porre...
247,isso ninguém fala nada 
248,"E Outra,Numa Briga de Casal,Alguém Pedir pra mim Ligar pra Policia,Eu Não Ligo,Pode Ser Minha Irmã,Pois a viatura,Vai Deixar de Atender,um Pai de Família,que Abriu Seu Comercio de 06:00 da Manhã,Pra ir Pra Essa Ocorrência e quando Chegar Lá,a Mulher Atravessa na Frente dos Policias e Não Deixa,Seu Marido/Namorado Ser Preso"
249,"Ah tá... foi só porisso!!! Não me venham com churumelas, devia estar escondendo algum caso!"
251,"Eu já acho que ela parece o Murray dos thander cats. ""ANTIGOS ESPÍRITOS DO MAU, TRANSFORMEM ESSA FORMA DECADENTE EM MURRAY!!! "
255,parece Amon Ra (thundercats) de peruca
256,"Eu mesmo dou uma surra todo dia na minha, quero ver ela me trair."
259,Duvido que o motivo seja só este mesmo 
260,Para com tanto mimimi!!! São todos santos e santas que foram pra lá!!! Nos poupem!!!
261,daqui a pouco estao mostrando os peito 
264,"o vestibular para ""carreiras científicas"" é mais difícil para mulheres ou é o mesmo que os homens fazem? e os cursos? as médias para aprovação são diferentes?"
265,vejam o que aconteceu quando uma mulher assumiu a presidencia do Brasil !
266,"Parabéns a primeira dama da França! vc é mil vezes melhor do que essa daqui do brasil,vc tem postura,tem licitude, não se casou com um velho horroso desses que temos aqui no brasil por dinheiro,velhos que sabem que essas espertas só estão com eles por causa de algum trocado,isso é que é humilhante,Viva a primeira dama da França! fora bozo! moro quem com porcos anda farelo come, não esqueça desse ditado! gilmar na cadeia! fora suprema corte de bandidos!"
267,"as mulheres xingam tanto machistas, mas apoiam feministas..."
268,o argumento da vitima em questão ñ se sustenta mentiu que estava drogada disse que foi levada a força e os vídeos e o exame toxicológico prova o contrario ela deveria passar de vitima para réu pois com toda a certeza se jogassem esse rapas para os leões na cadeia a vida dele seria ceifada e por uma mentira tem que ter leis para punir vigaristas que visa o bem alheio se tivessem metido naja na cadeia deria dado um pequeno exemplo.
271,"Meuuuu Deuuss Finalmente uma mulher foi honesta e não quis se fazer de eterna vítima... Obrigado Cat, eu volto a ter esperança na humanidade...."
272,Nesses quesitos o Bozo sempre perde .
275,Ela deve estar precisando ser flertada...o tempo dela já foi
277,"hoje em dia tudo é levado a ferro e fogo.... que mundo mais antipatico, não aguentam uma piada e começa o mimimimmimi"
278,"É triste por que de um lado existem diversas mulheres em situação de risco, algumas literalmente vivendo com o inimigo, mas ao mesmo tempo não é justo termos leis que favoreçam as mulheres com pouca ou nenhuma justificativa.Se prendessem e mantivessem presas as pessoas que matam 99% do que a lei maria da penha propõe já não se faria necessário, todavia como homicidas raramente ficam presos no Brasil a pessoa acaba se sentindo segura pra cometer tais atrocidades.O pior é que frequentemente são as mulheres que defendem tanta proteção ao ""ser humano"" que matou, roubou, sequestrou e até mesmo estuprou, como é o caso do Chambinha e a deputada Maria do Rosário."
279,"KKKKKKK q idiotice...eu cursei engenharia mecanica e depois design grafico e digo o seguinte, não é preconceito, simplesmente mulheres tendem a escolher carreiras diferentes de homens. Me lembro que em mecanica só havia 1 mulher, em civil elas eram metade da classe e em arquitetura eram maioria. essa diferença de escolhas de carreiras tbm explica a maior parte das diferenças de ganhos salarias. Homens tbm escolhem carreiras com 90% de chances maiores de morte do que mulheres e vc não vê as feministas reclamando disso."
281,As francesas são as melhores... Uhaa !!!
285,Feminismo e Machismo... 2 grandes problemas da sociedade quando na verdade faltam homens e mulheres que honrem seus órgãos sexuais....
286,"MUITO TRISTE E UM PÉSSIMO EXEMPLO, QUEM SOU EU PARA JULGAR, MAS ACHO QUE NÃO DEVERIA TER SIDO ASSIM, UMA TRISTE HISTÓRIA, ACHO QUE TERIA SIDO MELHOR TER PERDOADO AINDA QUE SE SEPARASSE E BUSCAR UMA NOVA EXPERIÊNCIA SEM ESSE NEGÓCIO DE VÁRIOS."
287,"A última cartada do Robinho era invocar os bolsonaristas para devender sua imagem nas redes, nem isso funcionou direito. "
288,"Não, porque tu já tinha enfiado todas no teu lulu."
292,Estupro superveniente: Quando a moça se arrepende depois do ato consumado. 
293,"BELEZA, MAS TEM QUE MOSTRAR OS PEITINHOS."
294,Qual a explicação das feministas? eu hein.... as mulheres são livres pra escolher o curso que querem fazer.. e os requisitos não levam em consideração gênero.. se não fazem é porque não querem... preferem outras.
295, O TAL DE MACRON VEM QUERER MANDAR NO BRASIL... AGORA AGUENTA ...COMEÇOU SE EMVOLVER COM COM A NOSSA SOBERANIA ... E GANHOU UM RAPA KKKK
296,BRUX4 ! BRUXA ! BRUXA !!!!!!!!!!!!
297,PASSARINHO QUE DORME COM MORCEGO ACABA DORMINDO DE CABEÇA PARA BAIXO. PRECISAVAM EXPLICAR ISSO PRA INOCENTE CACHACEIRA
300,Beleza e fundamental! Então sorriam quando forem paqueradas ..
301,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk patinha quebrada
303,"Já somos culpados pela Michele casar com esse asqueroso, horrível, chega né?"
304,O coitado tem que usar óculos!!! 
305,Mun rá !!!  Caverna do Dragão
306,Mimimimimimimimimi
311,"Vide o que Silvio Santos faz todo domingo durante seu programa. E todos e todas aplaudem e dizem: ele pode, ele é o Silvio, ele sempre fez isso, ele é um ícone da TV brasileira, ele só estava brincando e o pior, elas não se importam. Bom, as que são assediadas o tempo todo e que trabalham para ele talvez não se importem justamente por precisar do emprego, é o poder econômico falando mais alto. Já as coleguinhas do auditório e de casa, realmente não sou capaz nem de supor porque elas não se incomodam, quem souber me fale. Não sei se a autora do artigo acima já se pronunciou sobre isso, mas seria interessante que, se não o fez, fizesse, e se já o fez, fizesse novamente."
317,"-----------Feminismo = Lesbianismo = Pedofilia  ------Tudo começa com abraços , beijinhos depois as Tias estão passando a mão nas partes da menininhas. -------------Menininhas acha aquilo gostoso. ---As tias pedem pra guardar segredo. -----------Pronto nasce mais uma criança lésbica."
318,"Pelo jeito, já conseguiram."
323,Oficina de participantes do BBB 25.
324,o cara e gentil com a feiosa e ela agora quer vantagens
326,"Mulher adora um homem que não presta e aí... Apanha mesmo!!! Escolham homens que gostam de mulheres, que respeitam!! Basta ver pelos livros e filmes que são sucessos entre o publico feminino: 50 tons de porrada!! Para!!! A melhor coisa do mundo para um homem é ter ao seu lado uma mulher, esposa, mãe, cheirosa, bem humorada, companheira e apaixonada... Esta será eternamente feliz!"
327,"Centro de doutrinação das feministas. Mãe e Pai, não coloquem suas filhas nesse acampamento se não quiseram uma feminista conta a família em casa. "
328,"Deveriam se preocupar com a chamada presunção de inocencia - pq a hora que for com algum conhecido é assim que o pano é sempre passado por esses ai que estao na lacracao. Ah, ela é vitima, chorou, foi acuada, queriam o advogado de defesa a santificasse tb, etc etc etc. Mas e as provas? Exames deram negativo contradizendo a versao dela. Testemunhas contrariam ela. Ah, mas basta ela dizer que nao queria. OK. Mas ela afirmou que nao se lembrava de nada, que foi dopada - agora lembrou q disse q nao queria? ai fica complicado, nao é o acusado q tem provar que é inocente."
330,"Maravilha,  o que as monstrengas fe.minazis irão dizer agora ?"
332,"As feministas vão pedir pra soltar, só pra não concordar com a Damares."
333,"Por vingança,  fez pior que o traidor e perdeu a moral...Que vexame."
334,"Estou pasmo!! Pensei que não existissem mais mulheres inteligentes nesse mundo!! Incrível!! Parabéns nobre, sensata e inteligente Catherine e demais mulheres do manifesto!!"
335,O homem terá o direito constitucional de ampla defesa e julgamento prévio ou bastará a palavra da mulher para arrancarem o dinheiro dele?
338,"Melhor e mais correto comentário que já ví até hoje!As leis ajudam, mas jamais vão sanar esses problemas de machismo.Ainda estamos em evolução!"
340,"A violência não se justifica em nenhum caso! Mas pra ajudar a explicar, busque o que a mulher fez (ou anda fazendo) pro cara perder a cabeça e a razão. Essa Lei Maria da Penha virou um tipo de salvo conduto pra mulher esculachar o cara. Sabia que medida protetiva só existe pra mulher? O cara não tem esse direito, de pedir protecao judicial, num relacionamento abusivo. Aí fica na lei da ação e reação. Agressão e defesa."
341,"Há 50 anos as mulheres não sofriam as violências que sofrem hoje, eram muito mais respeitadas, se casavam, tinham filhos e construiam uma família . Por favor favor não diga besteiras, se você tem avós pergunte para eles."
342,O que essas feministas (= desejo enrrustido de ser macho) pensam não necessariamente reflete aquilo que a maioria das mulheres pensam
345,Eu adoro mulher na cama não tem coisa melho
346,"Sempre querendo ser o centro das atenções, não é mesmo? "
347,Mais feia que bater na mãe por causa de mistura! 
348,Imaginem quantas pessoas esse cara já humilhou durante nas audiências que ele participou?
350,"Sei que isto que vou dizer não  justifica estes crimes, e nem concordo com a prática de nenhum tipo de agressão  às  mulheres.  Mas pergunto: quantas Najila da vida  nao existem por aí,  pintando e bordando com os homens, e lhes criando os mais diversos tipos de problemas na vida, se prevalendo dessas leis ?!"
351,"Rosana , eu até que entendo e aceito a misandria feminazista , é muita covardia bater em mulher e a violência doméstica tem que acabar, mas por outro lado tem muita família sendo destruída e homens sendo subjugados pela lei Maria da Penha por causa de trastes c.o..mo esta criatura que quebrou a cabeça da mulher ."
352,"O cara bate o carro, todos lisos não tem seguro, uma conta de 3 mil reais o cara passa anos e não paga só quando o juiz manda penhorar o calhambeque dele aí ele paga.....imagine o zé da esquina bate na mulher 7 dias de internação a conta sai por 40 mil reais aí onde ele vai arranjar essa grana pra pagar e não tem casa, carro nada para penhorar.....vai morrer na cadeia e não paga."
355,"Não é o que ""as mulheres pensam"" e sim o que ELA PENSA. Mídia querendo generalizar o pensamento de minorias."
356,"Concordo com elas, realmente estupro é uma coisa e cortejar é algo totalmente diferente. Se continuar do jeito que está, que vai acabará de vez o romantismo. E ainda tem aquelas que se entregam (se vendem), e quando se tornam conhecidas dizem que foi estupro. "
357,Gabriela..  dê a seu filho uma boneca pra brincar então... barbie  kkkkkk
358,"Pode um sujeito de 40 anos ter relação sexual com uma menina de treze anos?Isso aconteceu no Brasil e todos acharam normal, inclusive a emissora que tanto combate isso. Sabe porque? Porque é um dos queridinhos dessa imprensa hipócrita do politicamente correto"
359,"O caso do Neymar foi bem diferente do Robinho. Com o Neymar, a  santa mocinha  que disse ter sido estuprada, viajou do Brasil para se encontrar com o jogador em um motel francês, fez um monte de acusações, mas, nada provou. Ainda disse que seu laptop tinha sido roubado com as provas, o que é meio estranho. Já no caso Robinho, ele próprio se condenou em conversa telefônica com um amigo interceptada pela polícia italiana.  "
360,"Claro, depois de uns 6 filmes ganhando mais fica facil esbravejar com a conta cheia. Acabou de protagonizar nos Vingadores, será que ganhou menos?rsrsrsrsrsrs"
363,"Todo estuprador tem seu discurso pronto, caso seja pego ..., ""---ela tava bêbada, --------- estava pedindo,--- estava querendo, --- tava de vestido curto, etc, etc... Mas quando entram no presídio para cumprir pena, eles falam fininho!!!"
364,"isso não interessa, feminismo e machismo são tudo piada pronta."
365," Tarefa as vezes impossível. e tem também um dispositivo que diz que por omissão vc também será condenado. Isso equivale a dizer que se sua mulher pular em uma fogueira, vc deverá pular junto e salvar ela. Ou seja em palavras bem curta e grossa: O HOMEM DEVERÁ DAR SUA VIDA PELA VIDA DA MULHER! Tem algo estranho nessas leis. "
366,"O Nível do Tal feminismo ,está perturbando até as mulheres."
368,"No fundo, no fundo, toda mulher gosta de ser ""cantada"".  A babaquice é que qualquer flerte, qualquer palavra mais ousada ou um gesto mais direto, tudo passou a ser assédio sexual.  E inclusive há mulheres que se rebelam, mas se forem buscar os anos passados, vão chegar à conclusão que só estão entre os vivos graças a um assédio... "
369,"Semelhante atrai semelhante, sefodeai"
370,"Essa mulher merece um Oscar. Deve-se acabar também com o vitimismo brasileiro, essa mania que tudo é racismo, etc."
374,"escolham melhor! escolhem o primeiro saradinho, com dinheirinho, bonitinho que veem na frente. As vezes da nisso! Favor não generalizem nós homens, respeitem os homens de bem!"
375," a quantidade de homens inocentes assassinados todos os anos é infinitamente superior a de mulheres e ninguem vê homens reclamando disso...as pessoas tem q entender q as leis existem para manter a ordem, não para defender um grupo especifico...se vc qr alguma coisa, vá a luta e conquiste por si mesmo(a)...ops, mesma(o)"
378,"Ele está errado, mas ai quem partiu pra agressão foi ela. Algumas mulheres  acham q tem força pra competir com homem e dá uma de louca. "
379,"Muito estranho. São leis completamente injustas e desiguais, feitas sem pensar nas consequências. que considera todo homem culpado só por ser homem. Sem falar que todo fórum no Brasil está aparelhado. Só tem mulheres trabalhando. Já precisou ir em um fórum? Vai lá pra ver e peça um documento que possa e inocentar ou ajudar vc em um processo contra uma mulher. Tente e depois me diga."
381,"Quanta babaquice. A resposta era tão óbvia quanto a morte para todos. Se as feministas acreditam mesmo que terão vantagem com esse tipo de pergunta, os machistas devem estar comemorando, tendo que concorrer com pessoas de nível morto. Na verdade, nas universidades, só encontramos feministas naqueles cursos que ninguém quer. "
383,"Matéria sensacionalista, acho que isso não foi o motivo, bem ela estava se arrumando pra sair pra festa e inventaram essa ideia aí "
384,"Nao aprecia o sexo feminino, joga no outro time."
385,o feminismo surgiu no mesmo ano em que foi inventada a direção hidráulica... k k k k k k k k
386,"Mulheres, voltem pra cozinha...Os MI MI MI PIIIIIRAAAA......haaaaaaaaaaaaaaaaa"
387,fetiche por bruxas.
389,"É a Brigitte Bardot depois de vários resfriados, cólera, ebola e muitas noitadas na farra se drogando."
393,"temos outros exemplos futebolístico ,tapamos o sol com a peneira e vez em quando crucificamos alguém , não temos educação más damos exemplos."
394,"Bem, talvez a moça seja preparada para apresentar programas infantis. Não haverá esse tipo de problema.Também acho que hoje em dia dizer que alguém é bonita é muito complicado, pois tudo agora é assédio."
